-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.201, -0.027,  0.115
-183.800, 80.201, -0.014,  0.148
-183.801, 80.201, -0.013,  0.181
-183.801, 80.201, -0.012,  0.214
-183.801, 80.201, -0.006,  0.247
-183.800, 80.200, 0.046,  0.280
-183.799, 80.196, 0.125,  0.313
-183.797, 80.190, 0.172,  0.346
-183.795, 80.182, 0.264,  0.379
-183.792, 80.170, 0.363,  0.412
-183.788, 80.154, 0.491,  0.445
-183.782, 80.132, 0.673,  0.478
-183.776, 80.106, 0.789,  0.511
-183.768, 80.075, 0.977,  0.544
-183.759, 80.036, 1.176,  0.577
-183.750, 79.993, 1.301,  0.610
-183.741, 79.947, 1.397,  0.643
-183.732, 79.899, 1.461,  0.676
-183.723, 79.851, 1.492,  0.709
-183.714, 79.801, 1.509,  0.742
-183.705, 79.752, 1.513,  0.775
-183.696, 79.703, 1.506,  0.808
-183.688, 79.654, 1.493,  0.841
-183.680, 79.606, 1.475,  0.874
-183.673, 79.559, 1.456,  0.907
-183.665, 79.512, 1.437,  0.940
-183.658, 79.465, 1.422,  0.973
-183.651, 79.419, 1.412,  1.006
-183.645, 79.373, 1.409,  1.039
-183.638, 79.326, 1.413,  1.072
-183.631, 79.280, 1.425,  1.105
-183.625, 79.232, 1.443,  1.138
-183.618, 79.184, 1.467,  1.171
-183.611, 79.135, 1.493,  1.204
-183.605, 79.085, 1.519,  1.237
-183.598, 79.034, 1.543,  1.270
-183.592, 78.982, 1.563,  1.303
-183.586, 78.930, 1.576,  1.336
-183.580, 78.878, 1.584,  1.369
-183.574, 78.825, 1.586,  1.402
-183.568, 78.773, 1.585,  1.435
-183.562, 78.721, 1.581,  1.468
-183.557, 78.668, 1.578,  1.501
-183.551, 78.616, 1.577,  1.534
-183.545, 78.564, 1.578,  1.567
-183.539, 78.512, 1.583,  1.600
-183.534, 78.459, 1.591,  1.633
-183.528, 78.406, 1.603,  1.666
-183.522, 78.353, 1.618,  1.699
-183.516, 78.299, 1.633,  1.732
